Date,Close,High,Low,Open,Volume,returns,log_returns,returns_2d,returns_3d,returns_5d,returns_10d,rsi_7,rsi_14,rsi_21,rsi_divergence,rsi_ma,rsi_oversold,rsi_overbought,rsi_neutral_zone,rsi_turning_up,rsi_turning_down,macd,macd_signal,macd_histogram,macd_above_signal,macd_hist_positive,macd_hist_slope,macd_crossover,macd_crossunder,macd_above_zero,momentum_5d,momentum_21d,momentum_63d,momentum_126d,momentum_252d,momentum_12_1,momentum_zscore,momentum_sharpe,momentum_positive,momentum_strong_positive,momentum_strong_negative,sma_5,price_to_sma_5,sma_10,price_to_sma_10,sma_20,price_to_sma_20,sma_50,price_to_sma_50,sma_200,price_to_sma_200,ema_12,ema_26,trend_up,golden_cross,death_cross,sma_20_slope,sma_50_slope,volatility_10d,volatility_20d,volatility_60d,volatility_ratio,atr_14,atr_percent,volatility_regime,high_volatility,volume_sma_20,volume_ratio,obv,obv_change,volume_trend,high_volume,bb_upper,bb_lower,bb_middle,bb_width,bb_position,bb_squeeze,in_squeeze,above_upper_bb,below_lower_bb,future_returns,target
2018-01-31,249.53150939941406,250.77075238523688,248.45159186602467,250.2662217858644,108364800,0.0004966602078815274,0.0004965369130225586,-0.009765617903994106,-0.016330493958780057,-0.004520150050354443,0.008190093369789375,54.64505403285529,64.81775686206964,68.21063956300435,-23.63691444135624,,0,0,0,1,0,,,,0,0,,0,0,0,-0.004520150050354443,,,,,,,,0,0,0,251.07529296875,0.9938513122853228,250.23349151611328,0.9971946915960528,246.77111053466797,1.0111860697906059,,,,,249.45719746805193,248.10034090409368,0,0,0,,,0.1019161668304842,0.0872365287227876,,,1.9429055300975864,0.0077862131911672254,,0,94942550.0,1.1413723351647918,718330300,0.12318118151237001,1.1008971214697731,0,254.8525207358784,238.68970033345755,246.77111053466797,6.5497214675581645,0.6707869540103686,,0,0,0,-0.050478934003338916,0
2018-02-01,249.24822998046875,250.55830220252017,248.45157575648545,248.79680789451083,90102500,-0.0011352450823830518,-0.0011358899611914539,-0.0006391487055602552,-0.010889776616675229,-0.006071611722547887,0.008740897175967044,52.56988823569325,63.3507232229652,66.94736371232614,-25.236615034897227,,0,0,0,0,1,,,,0,0,,0,0,0,-0.006071611722547887,0.04766132308936566,,,,,,,1,1,0,250.7707763671875,0.9939285334249259,250.44946899414063,0.9952036671569067,247.26282272338867,1.008029542149574,,,,,249.42421263667956,248.20453529335708,0,0,0,,,0.10157548712197315,0.08680501866459554,,,1.9546070240930953,0.007842009647355408,,0,94944155.0,0.9490052336555105,628227800,-0.13244632818840518,1.1124962879494793,0,254.66173046754253,239.8639149792348,247.26282272338867,5.984650391564098,0.6341689426151329,,0,0,0,-0.08505557360843141,0
2018-02-02,243.82212829589844,248.05327523352855,243.78671363574026,247.92047701130312,173174800,-0.02176987048211132,-0.022010330371984632,-0.022880401426085495,-0.022395105003132687,-0.0388372471276025,-0.01768829386863846,28.437116860736552,43.1874439754095,48.77822717054883,-48.28361090867504,76.1478309744193,0,0,1,0,1,,,,0,0,,0,0,0,-0.0388372471276025,0.018412216260623282,,,,,,,1,0,0,248.80037536621094,0.9799909985546243,250.0104232788086,0.9752478520625156,247.43277587890626,0.985407561426806,,,,,248.54346551097944,247.81327493336016,0,0,0,,,0.1495955239645439,0.12056545622088381,,,2.2051005469956237,0.009043890160451519,,0,99571075.0,1.7392078974742413,455053000,-0.45298253282143275,1.192227361209066,1,254.3349145691673,240.53063718864522,247.43277587890626,5.5790011373747435,0.23843994267295265,,0,0,0,-0.050644506423911606,0
2018-02-05,233.62490844726562,244.1762369170298,233.07610267865175,242.05181616190578,294681800,-0.04182237239869235,-0.04272210316583898,-0.06268177525042962,-0.06374586115570458,-0.07288896133669098,-0.06636265870657054,14.172546761014374,26.267311717081185,31.766374471418388,-52.74894898463651,69.89750625027125,1,0,0,0,1,,,,0,0,,0,0,0,-0.07288896133669098,-0.028275809282419573,,,,,,,0,0,1,245.12688293457032,0.9530774660469418,248.34982452392578,0.9407089733005164,247.01275863647462,0.9458009769895663,,,,,246.20588484603576,246.56551370434778,0,0,0,,,0.24008342828160015,0.19111588127260282,,,2.8404600963800823,0.012158207424279152,,0,110128965.0,2.675788335975009,160371200,-0.783796929985215,1.4494284950376135,1,255.91315419333856,238.11236307961067,247.01275863647462,7.2064257781619565,-0.2520929886584842,,0,0,1,0.0053420967965054356,1
2018-02-06,238.22779846191406,238.73235606415884,228.99540464463166,230.09301597852235,355026800,0.019702051657250363,0.019510478406466397,-0.02294430728286967,-0.044214683167131286,-0.04482557211517846,-0.049984312948523124,32.10718253435701,38.06315124758071,41.44526801534151,-26.420653389461513,64.76995168092391,0,0,0,1,0,,,,0,0,,0,0,0,-0.04482557211517846,-0.015690324799873756,,,,,,,0,0,0,242.8909149169922,0.9808016020003394,247.09640808105468,0.9641087068484158,246.8007583618164,0.9652636403680164,,,,,244.95934708056305,245.84230353398283,0,0,0,0.6107650756835881,,0.27230670249942673,0.2054772102415625,,,3.3330666194620173,0.013991090212735527,,0,125014345.0,2.839888494396383,515398000,-0.1550374570365045,1.6339736051890685,1,256.3055491036137,237.29596762001907,246.8007583618164,7.702399947947525,0.04901900879296932,,0,0,0,-0.011629914164274946,0
2018-02-07,236.9354248046875,241.08688157739127,236.85573507414517,237.67011009335184,167376100,-0.005424949000790824,-0.005439717472976988,0.014170220031008096,-0.02824478458679247,-0.050478934003338916,-0.054770911697616276,30.05025591150782,36.30684795058543,39.78163808159621,-28.510908911484215,59.555169345639854,0,0,0,0,1,-0.47666021391378877,,,0,0,,0,0,0,-0.050478934003338916,-0.022816963985105465,,,,,,,0,0,1,240.37169799804687,0.985704335319097,245.72349548339844,0.9642359365699945,246.49669647216797,0.9612113598100085,,,,,243.7086481709043,245.07938709041096,0,0,0,-0.2744140625,,0.2710997699543616,0.20576858841109397,,,3.3972151825894517,0.014338147980150588,,0,130520450.0,1.2823745244519154,348021900,-0.5155127105177103,1.6554677830179103,0,256.8200833971372,236.17330954719873,246.49669647216797,8.3760854183576,0.03691207464313098,,0,0,0,0.007173070235319878,1
2018-02-08,228.04827880859375,237.37805702441392,228.0128641455726,237.23642538580214,246449500,-0.03750872628447044,-0.03823027913087631,-0.042730192358083396,-0.023870013157996195,-0.08505557360843141,-0.09061076091319031,19.848649372302376,27.060194349647233,30.842512481204324,-36.29052887331797,53.40245495481834,1,0,0,0,1,-1.6846016136809112,,,0,0,,0,0,0,-0.08505557360843141,-0.06159406367062359,,,,,,,0,0,1,236.13170776367187,0.965767287114324,243.45124206542968,0.936730808493077,245.76686782836913,0.9279048914268252,,,,,241.2725799065136,243.63729224904333,0,0,0,-1.495954895019537,,0.3117778704561936,0.24285790138162977,,,3.8234993037503,0.016766183563084257,,0,139364210.0,1.7683844367215944,101572400,-0.8383191574775901,1.7747870848620317,1,258.7877433523028,232.74599230443545,245.76686782836913,10.596119516831527,-0.1803916137285402,,0,0,1,0.059775962752884215,1
2018-02-09,231.473876953125,233.34158819457997,223.87905367167514,230.85424200292982,283565300,0.015021372502471042,0.014909668924743285,-0.023050786331611728,-0.028350685992125424,-0.050644506423911606,-0.08751486033987321,30.464352975884992,34.03407458285004,36.607685980553796,-9.153369392559462,47.658756924694885,0,0,0,1,0,-2.338529620616413,,,0,0,,0,0,0,-0.050644506423911606,-0.04603837523809151,,,,,,,0,0,1,233.66205749511718,0.9906352765808463,241.23121643066406,0.9595519202617644,245.11980285644532,0.9443295656071,,,,,239.75093261892548,242.61816804509934,0,0,0,-2.3129730224609375,,0.3186317425547795,0.24867378305430402,,,4.226287533689909,0.018258161954688996,,0,150424400.0,1.8851017521093651,385137700,-0.15364210322753613,1.7910651463459386,1,259.5545155581976,230.68509015469303,245.11980285644532,11.77767975784966,0.027322566604883584,,0,0,0,0.04439786967220294,1
2018-02-12,234.87295532226562,236.35121338593257,231.6155091503573,233.53632887652546,143736000,0.014684500963488611,0.0145777276849021,0.02992645482494516,-0.00870477466221875,0.0053420967965054356,-0.06793624442704294,39.70847668479686,40.14899458385987,41.673541981848814,13.881682866778682,43.77203031290911,0,0,1,1,0,-2.5530649171658695,,,0,0,,0,0,0,0.0053420967965054356,-0.03904103341785703,,,,,,,0,0,1,233.9116668701172,1.0041096216576586,239.51927490234374,0.9806014794342857,244.56302642822266,0.9603780209646654,,,,,238.99452084607273,241.97546932495194,0,0,0,-2.449732208251959,,0.340181392360605,0.25427060773778265,,,4.272791026484028,0.018191924313386343,,0,153070395.0,0.9390189396192516,528873700,2.297809706480964,1.562880529575951,0,259.66145538295376,229.46459747349155,244.56302642822266,12.34727029284811,0.17910333137936713,,0,0,0,0.02283865126657325,1
2018-02-13,235.4572296142578,236.0060353761651,233.07609983038898,233.66032025826695,81223600,0.002487618428398841,0.0024845294274527404,0.017208648827096162,0.03248851885386328,-0.011629914164274946,-0.0559341687233893,41.27411067247037,41.158697661759824,42.50283416625584,3.095546414179111,41.43951961538086,0,0,1,1,0,-2.6454445943928135,,,0,0,,0,0,0,-0.011629914164274946,-0.04288979837508189,,,,,,,0,0,1,233.35755310058593,1.0089976796798468,238.12423400878907,0.9887999455173772,244.07750854492187,0.9646822069675564,,,,,238.44667348322608,241.43935959930013,0,0,0,-2.723249816894537,,0.34256411744230114,0.2547558863322321,,,4.176872777862035,0.01773941188684193,,0,151803820.0,0.5350563641942607,610097300,0.18374013868893546,1.2151874702494312,0,259.68294525139436,228.47207183844938,244.07750854492187,12.787279581396044,0.22380526438299794,,0,0,0,0.015225464448825887,1
